Recency,Frequency,Monetary,Cluster
257,1,400.53999999999996,2
335,2,545.48,2
53,2,860.41,0
19,1,430.48,0
360,3,194.18,2
10,3,6977.04,0
184,2,412.58,2
37,3,483.65000000000003,0
168,2,484.36,2
261,3,514.8499999999999,2
45,1,229.64,0
102,1,125.92,0
148,2,1063.46,2
96,2,572.2,0
281,1,166.04,2
178,2,1517.88,2
3,4,942.34,0
214,1,92.72,2
71,3,918.9800000000001,0
75,5,1759.5,0
60,1,397.11999999999995,0
3,8,1468.1200000000001,0
6,3,430.15,0
3,6,1018.71,0
322,3,253.05,2
38,7,6748.400000000001,0
262,1,215.05,2
32,2,383.03000000000003,0
145,1,417.38,2
283,1,312.38,2
59,4,2612.8599999999997,0
173,1,134.1,2
34,2,683.13,0
3,16,5583.62,0
144,6,2714.2700000000004,0
5,26,3876.3999999999996,0
70,2,1118.99,0
66,9,1680.7600000000002,0
29,2,325.96,0
267,4,354.09,2
22,1,871.5399999999998,0
31,2,1050.8899999999999,0
97,1,135.18,0
290,2,299.75000000000006,2
108,9,1881.7,0
79,5,1289.1500000000003,0
373,1,38.1,2
8,8,2162.68,0
211,2,1106.4,2
52,2,504.20000000000005,0
138,1,147.12,0
26,3,1548.07,0
283,1,559.12,2
26,10,3986.2200000000003,0
186,6,1607.0600000000002,2
366,1,-14.899999999999999,2
84,2,380.64000000000004,0
327,2,599.9700000000001,2
282,1,374.0,2
143,2,343.2300000000001,2
58,2,2218.020000000001,0
4,12,1535.7700000000002,0
18,3,841.64,0
45,4,552.57,0
276,1,298.0,2
9,2,1463.0399999999997,0
25,4,703.47,0
88,1,309.05000000000007,0
63,4,1158.27,0
68,3,1351.09,0
214,4,313.77,2
24,1,380.47,0
186,3,331.0,2
31,1,188.14000000000001,0
42,3,347.3,0
205,2,216.5,2
9,36,16293.1,3
265,1,138.67999999999998,2
18,2,509.58,0
12,5,2919.81,0
59,4,246.0,0
40,8,2128.83,0
23,8,3075.0400000000004,0
3,5,1662.3,0
5,5,2483.6299999999997,0
149,2,363.65,2
139,5,2982.3499999999995,0
128,1,594.0,0
8,8,1301.44,0
17,1,164.23000000000002,0
4,50,16389.74,3
161,1,405.38,2
64,1,176.97,0
88,5,929.9500000000002,0
5,2,694.05,0
35,5,2062.7,0
122,2,105.1,0
78,4,409.9,0
22,20,33462.81,3
24,4,606.28,0
2,8,2156.45,0
17,5,1012.9000000000001,0
15,4,1504.2700000000002,0
26,1,114.13999999999999,0
64,8,11581.800000000001,0
46,4,876.29,0
131,3,683.9000000000001,0
301,1,-3.75,2
36,2,604.5099999999999,0
288,1,462.95000000000005,2
144,11,1407.2900000000002,0
16,8,2053.7,0
31,10,4143.0199999999995,0
2,3,1843.0,0
9,8,1042.07,0
6,5,1382.8400000000001,0
10,1,329.85,0
1,14,4734.26,0
306,1,108.07,2
4,12,3979.04,0
7,2,266.39,0
8,9,1841.0300000000002,0
89,1,771.91,0
10,1,160.18,0
3,4,1194.75,0
112,1,135.95,0
7,4,452.24000000000007,0
4,89,10930.259999999998,3
198,1,144.8,2
212,1,738.6,2
156,1,39.24,2
156,12,7092.060000000001,0
30,2,372.2199999999999,0
240,2,377.20000000000005,2
19,1,97.5,0
1,3,1215.6200000000001,0
74,3,545.0,0
292,1,535.3200000000002,2
3,19,6854.51,0
31,3,409.5000000000001,0
23,2,503.76000000000005,0
23,4,414.75999999999993,0
4,5,902.2199999999999,0
78,2,200.72,0
22,7,1197.94,0
196,3,455.88,2
107,3,534.8500000000001,0
4,15,9797.92,0
318,1,120.94999999999999,2
106,3,149.05,0
12,22,5613.43,0
174,3,468.95000000000005,2
56,1,81.57,0
323,2,178.47,2
372,1,50.550000000000004,2
9,11,1311.6200000000003,0
1,15,4786.99,0
3,16,3365.4300000000003,0
53,5,3346.2799999999997,0
73,3,789.8899999999999,0
7,1,204.0,0
16,29,7272.75,3
4,12,2584.4,0
64,2,689.9000000000001,0
1,8,936.1500000000001,0
114,6,6912.0,0
23,3,659.6800000000001,0
31,3,1247.5,0
11,2,799.4800000000001,0
39,3,996.5200000000002,0
357,1,190.54999999999998,2
55,2,642.7700000000001,0
58,3,886.6299999999999,0
138,3,881.07,0
80,3,908.46,0
9,2,676.99,0
254,2,471.57000000000005,2
291,1,560.47,2
99,1,305.28,0
31,2,629.31,0
32,18,3079.1,0
14,5,1805.9099999999999,0
64,2,656.6800000000002,0
9,28,5684.61,3
212,1,348.15000000000003,2
64,4,1201.96,0
25,3,271.4,0
250,1,183.4,2
254,1,307.53000000000003,2
72,1,248.61,0
191,1,346.98,2
13,4,1119.4900000000002,0
373,1,205.85999999999999,2
24,3,430.9,0
82,1,115.46000000000001,0
10,2,344.0,0
1,27,3717.82,3
192,1,228.8,2
267,1,177.14999999999998,2
130,1,919.6100000000001,0
1,4,729.2700000000001,0
1,43,12432.28,3
4,5,220.09999999999997,0
179,1,58.08,2
1,21,27964.48,3
126,10,3595.48,0
4,2,303.75,0
158,3,272.38,2
3,118,57385.88,3
9,18,8689.39,0
21,2,319.82,0
71,6,459.83000000000004,0
267,13,7741.47,2
21,16,1708.8600000000001,0
71,1,74.4,0
33,14,5893.32,0
1,41,28658.879999999997,3
99,1,207.35999999999999,0
234,1,101.19,2
1,27,6336.29,3
40,1,243.94,0
3,6,1098.48,0
129,2,59.5,0
44,5,1524.0700000000004,0
373,1,350.05999999999995,2
3,5,766.84,0
31,8,1452.8700000000001,0
1,40,10510.0,3
9,14,2205.63,0
117,2,485.19,0
22,8,984.9100000000001,0
20,7,1125.0,0
239,1,30.599999999999998,2
269,2,254.72999999999996,2
94,2,922.39,0
90,3,3866.33,0
5,10,2056.29,0
78,1,259.16999999999996,0
94,1,64.0,0
23,4,1039.3000000000002,0
262,1,77.3,2
274,2,109.80000000000001,2
73,7,1740.63,0
197,1,3096.0,2
50,11,2545.38,0
11,9,3605.08,0
22,6,962.39,0
16,8,5055.790000000001,0
108,3,423.72,0
85,6,2385.8,0
19,1,307.0899999999999,0
333,1,110.94999999999999,2
40,5,614.77,0
26,1,228.91,0
10,4,712.8000000000001,0
29,17,3348.4800000000005,0
14,4,1676.0600000000002,0
203,2,1250.3700000000003,2
6,1,486.22,0
144,1,-611.86,2
33,4,971.7600000000002,0
49,5,1721.57,0
95,4,1201.06,0
9,5,1379.75,0
22,1,91.8,0
313,1,112.75,2
122,5,1644.9899999999998,0
46,2,1021.48,0
282,2,414.70000000000005,2
19,4,791.3299999999999,0
36,5,1310.14,0
64,2,712.88,0
27,1,116.00999999999999,0
8,5,426.80999999999995,0
4,2,353.65000000000003,0
16,3,2817.0299999999997,0
46,1,492.84000000000003,0
65,1,282.45,0
26,11,5725.469999999999,0
45,1,121.18,0
8,9,3957.7800000000007,0
15,12,1648.79,0
268,1,71.4,2
40,5,1539.69,0
337,1,236.01999999999998,2
11,1,114.60000000000001,0
19,2,260.67999999999995,0
95,2,911.9400000000002,0
61,1,117.88000000000001,0
136,1,60.7,0
11,4,1797.78,0
10,8,3384.09,0
4,39,9803.96,3
19,4,870.0900000000001,0
10,4,869.4599999999999,0
15,2,250.26000000000002,0
59,7,1205.9,0
30,11,5820.16,0
94,1,353.48,0
10,3,1197.42,0
9,4,780.5799999999999,0
57,6,1518.43,0
268,1,333.74,2
122,5,133.62000000000003,0
127,1,62.64,0
78,4,819.29,0
240,2,847.4100000000001,2
200,2,163.20000000000002,2
60,3,2150.8499999999995,0
3,8,6083.04,0
273,1,108.21,2
202,1,257.7,2
81,1,358.0,0
226,1,160.95,2
4,15,2763.41,0
13,7,1357.6000000000001,0
74,2,605.1199999999999,0
212,2,101.17000000000019,2
25,3,727.2700000000001,0
11,5,680.8299999999999,0
262,1,329.56,2
96,4,663.6500000000001,0
112,3,270.40000000000003,0
203,1,600.0700000000002,2
93,1,121.74,0
51,1,430.5,0
18,7,1922.1,0
18,4,501.11999999999995,0
125,2,465.67999999999995,0
92,3,711.41,0
157,2,1030.3999999999999,2
4,3,390.65999999999997,0
14,1,0.0,0
12,3,698.5799999999999,0
62,1,292.31999999999994,0
61,1,557.62,0
269,2,944.1,2
263,1,200.29,2
1,35,7454.07,3
53,5,2107.6600000000003,0
11,19,3717.67,0
3,27,4404.4400000000005,3
18,15,3167.6400000000003,0
1,17,5315.92,0
366,1,590.0,2
37,2,178.25999999999996,0
31,2,276.56000000000006,0
113,1,138.98,0
64,2,590.93,0
16,4,258.4,0
41,1,542.73,0
64,2,126.3,0
122,3,814.86,0
18,6,1047.8400000000001,0
60,2,93.66,0
323,2,196.15,2
23,4,2709.1200000000003,0
156,1,361.11,2
39,2,578.9399999999999,0
190,2,873.74,2
360,2,197.95,2
137,1,87.4,0
8,4,2089.85,0
1,1,360.0,0
268,1,142.5,2
165,2,365.29,2
104,4,618.09,0
155,1,63.75,2
351,1,300.41999999999996,2
4,10,2000.8599999999997,0
120,1,15.0,0
23,4,1367.6100000000001,0
7,5,1456.79,0
9,6,1083.63,0
4,2,598.57,0
22,5,1555.32,0
2,4,578.6600000000001,0
37,5,5815.49,0
64,9,2140.07,0
1,3,640.7600000000001,0
5,36,10664.34,3
70,6,1491.7,0
72,2,567.36,0
17,1,199.48,0
3,5,787.8499999999999,0
32,12,7072.799999999998,0
82,1,675.3,0
39,9,3617.5699999999993,0
316,1,1308.48,2
32,4,740.3999999999999,0
93,3,1140.93,0
14,1,350.9,0
82,3,3536.8200000000006,0
77,1,795.1200000000001,0
154,3,431.82000000000005,2
201,1,860.12,2
45,7,10736.48,0
261,1,775.8499999999999,2
173,2,303.93,2
68,3,2543.7200000000007,0
277,2,377.6,2
70,1,341.36,0
64,1,233.76,0
11,1,247.32,0
16,3,910.72,0
66,1,373.94,0
8,2,389.28,0
71,1,743.5300000000001,0
122,1,674.7,0
80,1,768.2400000000001,0
257,1,609.95,2
269,1,439.03000000000003,2
59,2,431.26,0
3,5,3085.49,0
18,2,992.5,0
67,2,7.105427357601002e-15,0
9,3,2191.2200000000003,0
50,1,56.160000000000004,0
257,2,623.4,2
354,2,263.75,2
366,2,721.3199999999999,2
90,1,378.63999999999993,0
61,3,3312.2500000000005,0
81,2,772.9,0
99,3,1019.76,0
26,3,572.56,0
21,7,3626.81,0
281,1,222.99,2
31,9,4122.28,0
330,1,534.5699999999999,2
121,3,627.15,0
11,3,797.9599999999999,0
75,1,544.08,0
204,1,59.8,2
2,10,2312.8,0
185,1,307.71999999999997,2
22,4,1325.29,0
73,6,1539.1799999999998,0
192,1,457.34000000000003,2
127,2,621.2300000000002,0
18,1,75.0,0
1,2,252.49,0
74,3,572.4509999999999,0
2,81,27487.41,3
9,7,988.9100000000001,0
107,1,213.55,0
134,3,1390.5,0
44,2,712.5,0
5,2,640.83,0
12,23,5845.4400000000005,0
64,1,221.06,0
135,4,140.35,0
40,3,1848.98,0
51,2,2601.55,0
108,3,1624.2100000000003,0
1,12,3550.7,0
19,3,582.6,0
10,1,218.46999999999997,0
11,4,1006.7999999999998,0
19,4,648.6899999999999,0
67,2,1269.1,0
74,2,534.24,0
5,9,3794.4900000000002,0
2,1,196.88999999999996,0
14,7,3408.0600000000004,0
255,1,283.71,2
92,1,296.64000000000004,0
23,4,1104.2300000000002,0
17,10,3465.6700000000005,0
24,1,291.88000000000005,0
27,6,2043.72,0
26,6,2916.45,0
259,2,590.0,2
166,2,356.97999999999996,2
25,4,1007.3499999999999,0
18,7,1737.82,0
7,22,9537.92,0
29,2,183.44,0
39,3,1445.0000000000002,0
183,2,143.25,2
58,1,674.6800000000001,0
100,2,297.95000000000005,0
11,2,1083.71,0
2,41,5656.75,3
99,2,165.0,0
1,4,2531.58,0
61,3,417.53999999999996,0
236,1,229.59,2
191,4,1431.7800000000002,2
179,4,1092.77,2
38,8,1441.5300000000002,0
198,3,291.0,2
46,8,1776.81,0
232,1,184.64,2
66,1,140.34,0
241,1,313.8,2
233,1,454.24,2
78,3,1122.4099999999999,0
58,3,575.4000000000001,0
17,17,8910.61,0
105,4,449.52,0
52,10,1215.8199999999997,0
136,3,1269.84,0
275,2,618.63,2
312,1,316.26000000000005,2
8,6,1990.12,0
11,3,617.93,0
283,3,321.04999999999995,2
18,7,1146.96,0
23,4,1136.77,0
243,2,1310.47,2
17,3,291.99999999999994,0
71,1,216.85000000000002,0
64,1,295.93000000000006,0
68,8,4282.880000000001,0
312,3,452.82,2
3,4,2479.16,0
244,1,110.97000000000003,2
9,7,979.72,0
1,5,1785.1599999999999,0
261,1,251.20999999999998,2
127,1,205.09999999999997,0
74,1,152.20000000000002,0
73,4,891.12,0
21,3,1389.4100000000003,0
60,5,2109.0699999999997,0
86,1,659.4399999999998,0
50,2,110.8,0
59,8,3487.7499999999995,0
1,3,1093.65,0
30,1,125.80000000000001,0
33,6,3755.38,0
41,5,680.1800000000001,0
15,2,628.78,0
34,8,2263.76,0
79,2,307.76,0
205,2,483.80000000000007,2
34,1,210.30999999999995,0
183,3,270.79,2
2,43,5613.08,3
1,7,3448.29,0
43,7,1280.8500000000001,0
86,4,605.84,0
40,2,291.40999999999997,0
12,3,626.99,0
96,2,682.4100000000001,0
26,8,916.1199999999999,0
319,1,91.80000000000001,2
66,16,3539.53,0
74,4,4149.280000000001,0
28,2,584.06,0
6,4,605.06,0
7,1,174.36999999999998,0
216,1,141.86,2
82,3,1799.33,0
84,2,777.53,0
144,5,647.7400000000004,0
19,2,240.22,0
41,2,874.71,0
173,1,192.85,2
17,2,373.74999999999994,0
243,1,239.49000000000004,2
13,12,2092.3199999999997,0
206,1,1384.2499999999998,2
50,2,294.4,0
23,5,732.07,0
10,20,6703.300000000001,0
25,5,1658.3,0
15,2,467.0400000000001,0
309,1,118.0,2
156,1,781.03,2
307,1,142.4,2
32,3,347.0,0
16,13,2445.12,0
15,2,379.65000000000003,0
11,7,1976.12,0
65,3,1117.1299999999997,0
36,4,247.95999999999998,0
108,6,1990.2800000000002,0
53,1,396.97,0
6,2,697.0400000000001,0
47,2,167.42000000000002,0
1,33,5030.6,3
312,1,219.51999999999998,2
45,2,693.32,0
65,1,428.89,0
26,1,164.34,0
29,3,280.53999999999996,0
40,1,678.0100000000001,0
12,9,1115.43,0
89,4,1158.2,0
24,4,1610.46,0
313,2,399.99,2
40,3,544.1800000000001,0
174,1,177.34,2
117,1,213.85,0
31,7,672.4399999999999,0
253,1,257.22999999999996,2
59,7,1624.0200000000002,0
23,11,7792.360000000001,0
5,11,1995.6799999999998,0
100,12,3021.77,0
25,6,2117.02,0
33,5,1575.1599999999999,0
68,1,1071.03,0
37,6,941.62,0
52,3,810.5,0
16,1,122.64,0
74,1,1033.3400000000001,0
216,1,354.8,2
31,3,519.44,0
9,5,2597.5200000000004,0
120,1,252.1,0
10,5,1670.22,0
257,2,346.6,2
17,7,1809.34,0
35,2,94.2,0
46,3,1095.08,0
43,6,2707.33,0
114,2,932.97,0
165,2,379.65000000000003,2
11,2,382.14,0
10,7,2421.47,0
197,3,1550.85,2
86,7,879.08,0
179,1,189.46999999999997,2
60,3,84.65,0
149,1,305.0199999999999,2
3,29,6216.07,3
51,2,218.55,0
75,1,349.7,0
301,6,-71.45999999999998,2
19,2,396.91999999999996,0
151,2,486.82000000000005,2
152,1,232.6,2
1,5,2202.31,0
18,4,827.83,0
187,1,59.5,2
286,2,64.23,2
3,7,3119.44,0
183,1,72.0,2
63,1,910.0,0
59,1,172.25,0
25,5,1466.8699999999997,0
325,2,-32.0,2
4,60,62653.1,3
31,15,2504.13,0
39,1,151.3,0
155,1,308.58,2
26,10,2265.12,0
318,1,99.5,2
5,10,2295.3100000000004,0
8,3,711.86,0
303,1,330.79,2
267,2,806.41,2
271,1,296.88,2
4,17,6249.11,0
32,1,180.48,0
219,2,252.06000000000003,2
247,1,228.83999999999997,2
281,8,1053.94,2
269,1,138.28,2
32,7,1432.2600000000002,0
246,2,306.55,2
15,5,1041.68,0
117,4,799.9,0
36,1,524.1400000000001,0
120,4,2369.16,0
217,1,199.85000000000002,2
50,11,1809.8099999999997,0
39,2,1079.6599999999999,0
29,2,333.48,0
37,6,1016.1400000000001,0
136,2,752.6,0
219,2,610.59,2
28,1,491.86000000000007,0
25,8,2766.18,0
5,3,724.0,0
200,1,339.6,2
18,1,216.9,0
241,1,350.75,2
72,4,666.33,0
17,14,3102.42,0
3,8,1340.15,0
95,2,1156.36,0
151,2,291.53999999999996,2
374,1,79.6,2
96,5,948.2499999999999,0
54,5,1647.26,0
288,1,296.25,2
124,6,1186.28,0
288,1,741.26,2
152,2,282.6,2
4,10,2154.6800000000003,0
2,15,5145.120000000001,0
12,7,3190.55,0
33,2,659.41,0
54,2,286.78999999999996,0
50,2,1070.65,0
204,2,-1.4210854715202004e-14,2
63,3,1689.46,0
71,3,1521.7600000000002,0
2,52,16945.71,3
2,16,2771.87,0
64,5,2631.7,0
34,3,1132.13,0
82,1,345.0,0
1,41,25748.350000000002,3
103,1,178.7,0
7,2,360.01000000000005,0
251,1,127.84,2
13,6,912.0,0
10,11,2462.7899999999995,0
367,1,230.4,2
76,2,309.04,0
4,1,348.79999999999995,0
43,3,1047.68,0
66,2,195.54999999999995,0
1,63,36351.42,3
117,2,688.8600000000001,0
310,1,558.32,2
67,1,324.79999999999995,0
138,6,3906.2699999999995,0
255,1,277.07000000000005,2
31,7,2635.79,0
52,2,924.5999999999999,0
64,1,256.38,0
367,1,112.6,2
6,5,1747.6600000000003,0
305,1,155.05,2
29,4,899.51,0
184,4,591.75,2
42,3,539.0,0
40,5,1353.4099999999999,0
56,3,1562.1200000000001,0
22,5,4014.91,0
24,4,555.04,0
29,2,382.97999999999996,0
302,3,1140.35,2
145,2,385.64,2
6,2,632.0,0
19,2,957.66,0
33,5,1698.94,0
158,2,174.65,2
58,3,412.05,0
22,1,209.49000000000004,0
359,1,-102.0,2
16,6,2202.99,0
18,2,40.949999999999996,0
159,1,384.7999999999999,2
25,4,834.57,0
212,2,271.24,2
6,4,691.7299999999999,0
253,1,85.0,2
59,9,3385.6200000000003,0
11,1,361.62,0
65,1,312.98,0
25,4,847.6099999999999,0
92,3,1255.0,0
52,2,1537.95,0
88,2,1586.8100000000002,0
96,3,2651.4599999999996,0
9,2,1056.94,0
9,29,8025.0199999999995,3
169,5,363.4,2
57,1,216.17000000000002,0
326,1,201.16,2
1,6,1240.0000000000002,0
18,10,2187.3100000000004,0
245,2,299.55999999999995,2
58,4,501.56,0
74,1,145.67,0
31,3,1015.29,0
7,2,3192.54,0
123,4,3104.95,0
2,10,2751.2500000000005,0
23,14,6389.8,0
120,4,381.7,0
358,1,540.45,2
54,5,1786.79,0
64,1,122.69999999999999,0
86,1,117.24000000000001,0
55,1,1281.53,0
21,13,3219.7700000000004,0
4,22,16989.52,3
3,6,1131.28,0
1,9,2538.75,0
7,6,781.3000000000002,0
189,2,506.8,2
71,1,243.56,0
204,1,349.54999999999995,2
120,2,605.63,0
93,1,416.9,0
1,14,1860.8600000000001,0
27,4,632.97,0
298,1,821.1000000000001,2
22,5,535.97,0
21,5,2588.12,0
50,1,311.15999999999997,0
